%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1746525946321027614,219,1746525946320505380,end_effector_link,0.25240045279171647,-0.0026192760262028422,-0.053245405278438816,0.005535954184059793,-0.9593435793287187,-0.022739402899075337,0.2812688563773605
1746525946421007895,220,1746525946420500516,end_effector_link,0.2526478966909011,-0.002437304884281268,-0.05685538714906747,0.004669767718654226,-0.9612828108948667,-0.022181695404329235,0.2746297928785356
1746525946522428047,221,1746525946520658254,end_effector_link,0.2517579782910906,-0.002553927189645542,-0.05881845872934452,0.0038116468446383975,-0.9647766924931227,-0.022515862864488787,0.2620771659069701
1746525946620841848,222,1746525946620544195,end_effector_link,0.25187033608784376,-0.0024722215238231343,-0.06237115915768703,0.003759854132693901,-0.9665368416191259,-0.02324750641623754,0.25544461383096756
1746525946720940267,223,1746525946720461606,end_effector_link,0.25315559719323166,-0.0024435094276054788,-0.06633173372713912,0.003409553949264052,-0.96515676315382,-0.023102400297705432,0.26062823442749333
1746525946821128139,224,1746525946820607900,end_effector_link,0.2539133805973795,-0.0020282720402444747,-0.06937857031968117,0.00454259388262949,-0.9645518501110181,-0.02303066381460888,0.2628472594730405
1746525946921920334,225,1746525946920961141,end_effector_link,0.25229681744299615,-0.0017715757705774016,-0.06882948019281546,0.004014550854462782,-0.9680824216199087,-0.02296538284459524,0.2495453856972141
1746525947020931879,226,1746525947020433664,end_effector_link,0.2529141701793923,-0.001734730891180471,-0.07069158021523385,0.004614434545976027,-0.9673121233599571,-0.023067913312190158,0.25249521652913165
1746525947120799931,227,1746525947120463848,end_effector_link,0.2533300406978148,-0.001482107265595028,-0.07184162113278299,0.003855068661966724,-0.9667554643834966,-0.022043415766173136,0.2547216095105031
1746525947221277496,228,1746525947220672607,end_effector_link,0.2511574735185015,-0.0015887956892928843,-0.0708372311345614,0.003982996935941927,-0.9714492456402797,-0.022684208823494253,0.23612692677962735
1746525947321560059,229,1746525947320562124,end_effector_link,0.24991769147013346,-0.001958346866992235,-0.07186102560702268,0.00252079005252436,-0.9740786620264715,-0.023505738387879484,0.2249708560348873
